10510;Alice in Wonderland;1910;5145;NULL;NULL
10511;Alices Restaurant;1969;5146;NULL;NULL
10512;Alice;1990;5170;NULL;NULL
10513;Alice;1990;2643;12000000;7331647
10514;Alice Adams;2906;1791;NULL;NULL
10515;Alice Doesnt Live Here Anymore;1974;2898;NULL;18600000
10516;Alice in the Cities;1974;5198;NULL;NULL
10517;Alice in Wonderland;1903;5203;NULL;NULL
10518;Alice in Wonderland;1931;5208;NULL;NULL
10519;Alice in Wonderland;1933;5214;NULL;NULL
10520;Alice in Wonderland;1951;5234;3000000;7789000
10521;Alice in Wonderland;2010;5251;150;1024299904
10522;Alien;1979;351;11000000;104931801
10523;Alien 3;1992;5265;50000000;159773545
10524;Alien Autopsy;2006;5272;NULL;2179510
10525;Alien Hunter;2003;5308;NULL;NULL
10526;Alien Nation;1988;5317;NULL;32155047
10527;Alien Resurrection;1997;5327;70000000;161295658
10528;Alien vs. Predator;2004;5336;60000000;172544654
10529;Aliens;1986;5347;18500000;131060248
10530;Aliens in the Attic;2009;5354;45000000;57881056
10531;Aliens vs. Predator: Requiem;2007;5373;40000000;128884494
